iter	CrossEntropy
0	0.2912641802
1	0.202504569
2	0.1771060503
3	0.1654952235
4	0.1622113165
5	0.158842221
6	0.1549599768
7	0.1531576539
8	0.1525454109
9	0.1518841611
10	0.1512080019
11	0.1491128073
12	0.148755501
13	0.1484225327
14	0.1479010802
15	0.1474734728
16	0.1469986341
17	0.1461705803
18	0.1457398852
19	0.1452713984
20	0.1450261549
21	0.1447916082
22	0.1445530144
23	0.1440124179
24	0.1438476431
25	0.1435290217
26	0.1431039948
27	0.142939253
28	0.1426935023
29	0.1424425244
30	0.1422976655
31	0.1419267511
32	0.1414719055
33	0.1413924955
34	0.1412724598
35	0.1410950693
36	0.1408354899
37	0.1406815662
38	0.1403110048
39	0.1401912557
40	0.1399430899
41	0.1395877907
42	0.1391685422
43	0.1390129424
44	0.1389385169
45	0.1388403269
46	0.138612474
47	0.138514317
48	0.1384306725
49	0.1383132833
50	0.1380594163
51	0.1380006941
52	0.137920016
53	0.1378467263
54	0.1376285557
55	0.1375487377
56	0.1374489377
57	0.1373843709
58	0.1372889157
59	0.1371787828
60	0.1369878063
61	0.1368885576
62	0.1368014503
63	0.1367259772
64	0.1365517627
65	0.1363961739
66	0.1363409696
67	0.1362635887
68	0.1360881942
69	0.1360229548
70	0.135962799
71	0.1359175416
72	0.135847042
73	0.1357549613
74	0.1355181981
75	0.1354725878
76	0.1354255219
77	0.1353934535
78	0.1353214762
79	0.1352165152
80	0.135166152
81	0.1351376014
82	0.1350198594
83	0.134746286
84	0.134680032
85	0.1345896164
86	0.1345146065
87	0.134304486
88	0.1341558115
89	0.1340693108
90	0.1339688932
91	0.1338966732
92	0.1338657848
93	0.1336818329
94	0.1336109914
95	0.1335869512
96	0.133506637
97	0.1334585896
98	0.1334249002
99	0.1333343192
100	0.1332085381
101	0.1331934192
102	0.133147445
103	0.1330357571
104	0.1330050342
105	0.1329325165
106	0.132892409
107	0.1328078932
108	0.1327214917
109	0.1326768298
110	0.1326186701
111	0.132567546
112	0.1325437484
113	0.1324419413
114	0.1323734818
115	0.132248671
116	0.1322148714
117	0.1321500289
118	0.1321387256
119	0.1320696705
120	0.1320488173
121	0.1320094707
122	0.1319186251
123	0.1319099574
124	0.1318981468
125	0.1318921808
126	0.1318150315
127	0.1317598603
128	0.1316266796
129	0.1315839475
130	0.1314115857
131	0.1313524445
132	0.1312626796
133	0.1312103204
134	0.1311753187
135	0.1311037383
136	0.1310481591
137	0.130935567
138	0.1309075347
139	0.1308781571
140	0.1308305839
141	0.1307552873
142	0.1306988699
143	0.1306286018
144	0.1305849324
145	0.1305657333
146	0.1304459512
147	0.1304054026
148	0.1303706325
149	0.1303252979
150	0.1302854771
151	0.1302603341
152	0.1302218036
153	0.1301829532
154	0.1301274181
155	0.130098636
156	0.1300053422
157	0.1299261859
158	0.1298924083
159	0.1298396631
160	0.1296929515
161	0.129685552
162	0.1296597473
163	0.1296191215
164	0.1295569477
165	0.129532301
166	0.1295166748
167	0.1294823017
168	0.1294402203
169	0.1293693567
170	0.1293373325
171	0.1293025844
172	0.1292004686
173	0.1291707712
174	0.1291449665
175	0.1290710483
176	0.1290101868
177	0.1289680943
178	0.1288877691
179	0.1287627599
180	0.1287523277
181	0.1287064087
182	0.1286367692
183	0.1285842446
184	0.1285190492
185	0.1284937298
186	0.1284859002
187	0.1284802761
188	0.1284667672
189	0.1283657872
190	0.1283246431
191	0.1283218972
192	0.1283124024
193	0.128304231
194	0.1282849657
195	0.1282728904
196	0.1282201894
197	0.1281739947
198	0.1281540016
199	0.1281376255
200	0.1280097712
201	0.1279632897
202	0.1279265898
203	0.127829282
204	0.1277875203
205	0.1277679022
206	0.127725137
207	0.1277002146
208	0.1276897493
209	0.1276369601
210	0.1276336187
211	0.127588229
212	0.1275651371
213	0.1275449566
214	0.1275318557
215	0.1275163068
216	0.127472483
217	0.1273806338
218	0.1273595711
219	0.1273524913
220	0.1273051277
221	0.1272910343
222	0.1272529118
223	0.1272440125
224	0.1271616472
225	0.1271229843
226	0.1271211537
227	0.1271151547
228	0.127050246
229	0.1270102047
230	0.1270057385
231	0.1269190834
232	0.1269111435
233	0.1268690841
234	0.1267710485
235	0.1267667146
236	0.126760495
237	0.1267468428
238	0.1267451556
239	0.1267091945
240	0.1266811953
241	0.1265738414
242	0.1265515325
243	0.1265366231
244	0.1264994379
245	0.1264794448
246	0.126449957
247	0.1264218586
248	0.1264098384
249	0.1263938815
250	0.1263648567
251	0.1263445659
252	0.1262004789
253	0.1261892307
254	0.1261751043
255	0.1261705499
256	0.1260771238
257	0.1260597884
258	0.1260346233
259	0.1259907113
260	0.1259712475
261	0.125947902
262	0.1259409436
263	0.125935904
264	0.125896006
265	0.1258249881
266	0.1258043774
267	0.1257901849
268	0.1257668063
269	0.1257484343
270	0.1257391931
271	0.1257304813
272	0.1257103669
273	0.1256877492
274	0.1256483034
275	0.1256310451
276	0.1255137442
277	0.125481323
278	0.1254455494
279	0.1254054639
280	0.1253868382
281	0.1253627098
282	0.1253432129
283	0.1253173421
284	0.125312898
285	0.1252888798
286	0.1252733639
287	0.1252573077
288	0.1252520034
289	0.1252153586
290	0.1251975049
291	0.1251654917
292	0.1251597904
293	0.1250490178
294	0.1250385857
295	0.1250285616
296	0.1249984672
297	0.1249908471
298	0.1249501331
299	0.1249072245
300	0.1248869006
301	0.124824385
302	0.1247559806
303	0.1247046911
304	0.1246404882
305	0.1246238255
306	0.1246094124
307	0.1246086073
308	0.1246044168
309	0.1245722934
310	0.1245564797
311	0.1245553218
312	0.1245485288
313	0.1245045175
314	0.1245010328
315	0.124443237
316	0.1243575413
317	0.124322297
318	0.124314743
319	0.1242670485
320	0.1242665854
321	0.1242118111
322	0.124210543
323	0.1241707553
324	0.124158669
325	0.1241548093
326	0.1241340774
327	0.1241228292
328	0.1241062877
329	0.1240687717
330	0.1240668199
331	0.1240450182
332	0.1240300648
333	0.1239639541
334	0.1239585837
335	0.1239398587
336	0.1238730313
337	0.1238514613
338	0.1238444477
339	0.1238153899
340	0.1237990028
341	0.1237960254
342	0.1237620933
343	0.1237482647
344	0.1237466436
345	0.1237408321
346	0.1237278195
347	0.1237215668
348	0.1237108479
349	0.1237046835
350	0.1236802022
351	0.1236635394
352	0.1236368967
353	0.1236338971
354	0.1235245472
355	0.1234874061
356	0.1234577528
357	0.1233670285
358	0.1233470574
359	0.1233401541
360	0.1233198633
361	0.1233161911
362	0.123299407
363	0.1232776495
364	0.1231935197
365	0.1231742765
366	0.1231689061
367	0.1231504017
368	0.1231193479
369	0.1231049348
370	0.1230548032
