iter	Passed	Remaining
0	487	340737
1	929	324567
2	1447	336378
3	2007	349250
4	2540	353061
5	3132	362320
6	3681	364419
7	4107	355278
8	4673	358819
9	5179	357397
10	5759	360728
11	6267	359336
12	6858	362453
13	7311	358271
14	7784	355496
15	8140	348023
16	8725	350556
17	9246	350333
18	9693	347435
19	10093	343165
20	10596	342625
21	10939	337127
22	11462	337402
23	11992	337783
24	12437	335809
25	12785	331435
26	13119	327008
27	13558	325406
28	14147	327339
29	14526	324424
30	15006	323847
31	15482	323192
32	16092	325262
33	16565	324490
34	17021	323400
35	17406	321049
36	17880	320396
37	18323	319214
38	18786	318411
39	19245	317548
40	19832	318774
41	20317	318307
42	20739	316881
43	21191	315953
44	21532	313417
45	21941	311945
46	22468	312165
47	23062	313258
48	23467	311782
49	23825	309733
50	24292	309129
51	24796	309002
52	25235	308064
53	25662	307004
54	26023	305185
55	26430	303954
56	26961	304140
57	27486	304247
58	27947	303635
59	28397	302910
60	28846	302178
61	29361	302142
62	29732	300626
63	30200	300118
64	30555	298503
65	31093	298689
66	31525	297847
67	31964	297082
68	32447	296728
69	32896	296067
70	33483	296637
71	33998	296546
72	34527	296555
73	35064	296624
74	35583	296526
75	35936	295057
76	36350	294109
77	36842	293798
78	37366	293728
79	37938	294022
80	38314	292794
81	38691	291604
82	39190	291335
83	39557	290091
84	39878	288530
85	40412	288525
86	40734	287015
87	41245	286846
88	41684	286168
89	42043	284959
90	42536	284668
91	42997	284158
92	43579	284438
93	44036	283897
94	44566	283819
95	45052	283452
96	45539	283097
97	46024	282721
98	46485	282197
99	46972	281833
100	47466	281511
101	47932	281013
102	48383	280436
103	48850	279951
104	49168	278624
105	49609	277998
106	50168	278034
107	50749	278183
108	51366	278511
109	51712	277367
110	52297	277504
111	52890	277676
112	53369	277236
113	53776	276430
114	54229	275860
115	54657	275172
116	54986	273990
117	55488	273681
118	55836	272613
119	56375	272482
120	56966	272589
121	57412	272002
122	57823	271252
123	58409	271321
124	58884	270868
125	59408	270639
126	59873	270139
127	60340	269646
128	60740	268857
129	61182	268262
130	61593	267533
131	62161	267480
132	62628	266993
133	63179	266862
134	63661	266436
135	64158	266070
136	64769	266168
137	65302	265940
138	65819	265645
139	66353	265412
140	66807	264859
141	67336	264603
142	67719	263775
143	68218	263398
144	68576	262482
145	69083	262139
146	69641	261985
147	69935	260842
148	70451	260529
149	70788	259556
150	71264	259099
151	71698	258491
152	72353	258676
153	72769	258001
154	73252	257565
155	73689	256966
156	74145	256439
157	74505	255583
158	74934	254965
159	75340	254273
160	75736	253552
161	76110	252762
162	76546	252179
163	77015	251707
164	77520	251353
165	77825	250353
166	78402	250230
167	78974	250085
168	79312	249200
169	79772	248702
170	80160	247983
171	80655	247592
172	81097	247041
173	81538	246488
174	82069	246209
175	82476	245555
176	82992	245227
177	83443	244704
178	84017	244544
179	84375	243750
180	84792	243135
181	85270	242693
182	85807	242418
183	86325	242087
184	86675	241286
185	87054	240569
186	87556	240195
187	88047	239787
188	88664	239722
189	89114	239203
190	89617	238824
191	90138	238491
192	90655	238146
193	91083	237568
194	91721	237534
195	92257	237233
196	92967	237372
197	93510	237082
198	94272	237339
199	94758	236895
200	95560	237236
201	96160	237067
202	96823	237050
203	97221	236382
204	97653	235796
205	98058	235150
206	98572	234765
207	99079	234361
208	99491	233734
209	100021	233384
210	100353	232572
211	100797	232025
212	101315	231647
213	101691	230945
214	102138	230404
215	102546	229780
216	103061	229394
217	103630	229128
218	104174	228803
219	104619	228261
220	105128	227857
221	105491	227138
222	106047	226836
223	106591	226506
224	107039	225972
225	107482	225427
226	108027	225097
227	108488	224590
228	108864	223910
229	109232	223214
230	109567	222456
231	109960	221817
232	110425	221324
